,TaskBoardID,Discord ID,Moniker,Status,jsonErr,Last Date Updated,moniker,delegator_address
104,3717,cw#1047,cwwc,Completed,False,2021-08-16 23:58:00,cwwc,agoric1adxl333e98prvkggt5cvz3j0cdc0akyj05l92y
105,3806,depasty#7902,deapst,Completed,False,2021-08-18 06:03:00,deapst,agoric1utlnjaz6m84xewcuzeuklwkelqtf85pmnw8x4t
106,3807,doppelganger23#1836,doppelganger23,Completed,False,2021-08-18 07:53:00,doppelganger23,agoric19f8p96hqfl4tta8m7g0vajedfl24f83pr3wcv6
107,3795,emmanuelapp#1643,AgoricMining_Glibx,Completed,False,2021-08-17 14:21:00,AgoricMining_Glibx,agoric1ypht0qcdvdze59z6vp7gclq3ersjd47pzhjss6
108,3805,feiersherry#9497,feier3,Completed,False,2021-08-18 03:43:00,feier3,agoric1nq2pjtc3qqy69ydrxtarh5hzfw9epu3c8h32l7
109,3697,gLAd#6226,Stake.su,Completed,False,2021-08-16 16:21:00,stake.su,agoric19v6m462ca5kz73gz9l9ylpdag8hpuzv3tt6prd
110,3734,hiretrade#6141,sumnechamak,Completed,False,2021-08-17 06:42:00,sumnechamak,agoric156cazq9jkga5f8trewe93yyyvfr8vgl5h6wa4g
111,3730,humantraffic#5925,humantraffic,Completed,False,2021-08-17 05:12:00,humantraffic,agoric1qytu7vsclm58mrk6vrg2nfcqcuxjwv43c4z2gq
112,3783,hyehan#9340,nodapsis,Completed,False,2021-08-17 13:20:00,nodapsis,agoric1pgenjgcp2c4mx5masg2wq4m0t8vgm8k992u97q
113,3678,iicc | stakely.io#4715,iicc-Stakely.io,Completed,False,2021-08-16 12:48:00,iicc-Stakely.io,agoric1xgvfc3rj8cksyd6knjjd53ga7htw626v9sj29x
114,3737,jjangg96#7937,0base.vc,Completed,False,2021-08-17 07:04:00,0base.vc,agoric1hjehwu9haqd0t3uxmlnwdg8mjyy24az97uqgwc
115,3725,johndoe#6169,johndoe,Completed,False,2021-08-17 03:23:00,johndoe,agoric1jp02z3vh3vp7t4879uadnugvp0panr7nkv9lze
116,3721,k_kappa#0309,Witval,Completed,False,2021-08-17 02:33:00,Witval,agoric1e5ez7y5f2r3la09whkgdurpqst56ml9633wmct
117,3770,kennyrowe#4914,onchain,Completed,False,2021-08-17 12:09:00,onchain,agoric1defymru2565axgnuzxqjxhe887fk6dxu6xqrqw
118,3835,kkumari#8296,f1,Completed,False,2021-08-19 08:51:00,f1,agoric17lksl284afuec8xvhxf273zgrylhurf4dmxxfq
119,3690,kodvas#8552,ZenQQQ,Completed,False,2021-08-16 15:13:00,ZenQQQ,agoric14z3lzzt86xhgj3yxk0ltvt9jxxdeg7uv7jt0zt
120,3706,kristaps#8455,kj-agoric,Completed,False,2021-08-16 17:12:00,kj-agoric,agoric1phvq7r2878fj0ehq80duygxkm8rxgmshr965z4
121,3726,luizapplima#8073,Papaya Node,Completed,False,2021-08-17 03:41:00,Papaya Node,agoric1muq0glgqywywwakwlsp6j2aeynh36mw5rwavzk
122,3700,mabalaru#6177,Inotel,Completed,False,2021-08-16 16:59:00,Inotel,agoric1mlnfu0dcm3t09jd8fztkz2eufxg7et6jsd3gmh
123,3751,maxfil#6029,Maxfil,Completed,False,2021-08-17 10:28:00,Maxfil,agoric1jzn9mcc2aylwafearg7rj3um29lk6zcu9uzehg
124,3771,medium#7343,medium,Completed,False,2021-08-17 12:15:00,medium,agoric1260xw92zt90yv8gl0dg4rle5g5emszz2az0930
125,3702,mihaildmm#2064,MrDaddyRu,Obsolete,True,2021-08-16 17:04:00,,
126,3708,mihaildmm#2064,MrDaddyRu,Completed,False,2021-08-16 17:35:00,MrDaddyRu,agoric15n65wlr4y0uve0df7ykgd2ffe80kdvhnzzxj2p
127,3754,mindstyle#9025,P-ops,Completed,False,2021-08-17 11:10:00,P-ops,agoric1vrpwzlvaf9macl09mwpm3qjw8wkmzl8wrnp78t
128,3779,mirxl#0530,mirxl,Obsolete,False,2021-08-17 12:47:00,mirxl,agoric1l5qlued73zt4mmdrg59z8us8fpmvyxepcwttrm
129,3787,mirxl#0530,mirxl,Completed,False,2021-08-17 13:25:00,mirxl,agoric1l5qlued73zt4mmdrg59z8us8fpmvyxepcwttrm
130,3781,mr_vavilon#6450,mrvavilon,Completed,False,2021-08-17 12:58:00,mrvavilon,agoric1vkhcz9hgwqsmtyt4pj0wmq7hqz6u2ysj0z6wn5
131,3705,natashakrip#8844,nataagoric,Completed,False,2021-08-16 17:11:00,nataagoric,agoric1pe8eqe7gfw8r435jp2qannel7ppzjl7f60yrkm
132,3784,novy#4976,Novy,Completed,False,2021-08-17 13:23:00,Novy,agoric1dph3yt92plfsym3p72dr7vfk4j5jks6xjyadmw
133,3733,null#2319,null2319,Completed,False,2021-08-17 06:17:00,null2319,agoric13t5m25a9eepemw5hxvz0f07786gq3kwjg4tlfq
134,3746,oxes#8647,oxess,Completed,False,2021-08-17 08:38:00,oxess,agoric1hgwdk8mqw889t6dhltgeum2ryassy8z0gsgxfv
